id,smash_count,pass_count,total_votes,smash_pct
168,132649,926347,1058996,12.53
169,141579,914603,1056182,13.4
170,136420,916943,1053363,12.95
171,168466,882351,1050817,16.03
172,231253,817631,1048884,22.05
173,225539,819885,1045424,21.57
174,190672,852388,1043060,18.28
175,185346,855666,1041012,17.8
176,208315,830432,1038747,20.05
177,118057,918503,1036560,11.39
178,177715,856579,1034294,17.18
179,222162,809930,1032092,21.53
180,345101,685044,1030145,33.5
181,400973,627326,1028299,38.99
182,378475,647824,1026299,36.88
183,183857,840121,1023978,17.96
184,225620,796406,1022026,22.08
185,161601,858283,1019884,15.85
186,159644,857996,1017640,15.69
187,130211,885262,1015473,12.82
188,120374,893036,1013410,11.88
189,139743,871658,1011401,13.82
190,163661,845795,1009456,16.21
191,99849,907614,1007463,9.91
192,153824,851742,1005566,15.3
193,90044,913559,1003603,8.97
194,174404,827462,1001866,17.41
195,245449,754652,1000101,24.54
196,614844,383998,998842,61.56
197,659593,337899,997492,66.13
198,119664,875240,994904,12.03
199,177856,814720,992576,17.92
200,279038,710403,989441,28.2
201,166727,819662,986389,16.9
202,225669,758709,984378,22.93
203,187792,794465,982257,19.12
204,84079,896089,980168,8.58
205,97137,881169,978306,9.93
206,126968,849295,976263,13.01
207,116514,857677,974191,11.96
208,150071,822246,972317,15.43
209,101132,869371,970503,10.42
210,127716,841175,968891,13.18
211,94569,872532,967101,9.78
212,300993,664446,965439,31.18
213,178422,785155,963577,18.52
214,146373,815314,961687,15.22
215,309671,650269,959940,32.26
216,168364,789932,958296,17.57
217,260843,695936,956779,27.26
218,120597,834396,954993,12.63
219,99341,854134,953475,10.42
220,115318,836545,951863,12.11
221,108943,841502,950445,11.46
222,134045,814804,948849,14.13
223,93522,853609,947131,9.87
224,223819,721660,945479,23.67
225,143381,800167,943548,15.2
226,143810,797929,941739,15.27
227,136229,803644,939873,14.49
228,159626,778483,938109,17.02
229,292934,643791,936725,31.27
230,202563,732415,934978,21.67
231,130564,802679,933243,13.99
232,129743,801784,931527,13.93
233,157378,772570,929948,16.92
234,161876,766469,928345,17.44
235,184785,741834,926619,19.94
236,111564,813629,925193,12.06
237,129628,793806,923434,14.04
238,145097,776883,921980,15.74
239,106615,813366,919981,11.59
240,116149,802242,918391,12.65
241,346594,570203,916797,37.8
242,303467,611293,914760,33.17
243,262288,650664,912952,28.73
244,263265,648245,911510,28.88
245,465482,444826,910308,51.13
246,112665,795792,908457,12.4
247,85498,821616,907114,9.43
248,265489,640157,905646,29.31
249,440632,463580,904212,48.73
250,233542,668866,902408,25.88
251,280834,619880,900714,31.18
252,133610,761103,894713,14.93
253,217734,674619,892353,24.4
254,308092,582571,890663,34.59
255,140390,748482,888872,15.79
256,160355,727256,887611,18.07
257,481325,405123,886448,54.3
258,149668,734820,884488,16.92
259,126509,756509,883018,14.33
260,244110,637571,881681,27.69
261,142242,737354,879596,16.17
262,249455,628507,877962,28.41
263,119146,756806,875952,13.6
264,153741,720313,874054,17.59
265,91470,780735,872205,10.49
266,78662,791982,870644,9.03
267,122171,746841,869012,14.06
268,77872,789246,867118,8.98
269,81220,784528,865748,9.38
270,89505,774660,864165,10.36
271,103357,759260,862617,11.98
272,142384,718748,861132,16.53
273,81891,777470,859361,9.53
274,116368,741396,857764,13.57
275,113589,742653,856242,13.27
276,91576,762915,854491,10.72
277,166671,686374,853045,19.54
278,83521,767894,851415,9.81
279,106189,743729,849918,12.49
280,208431,640548,848979,24.55
281,400069,449761,849830,47.08
282,711862,155619,867481,82.06
283,89565,747503,837068,10.7
284,101754,730558,832312,12.23
285,81550,747115,828665,9.84
286,219914,605977,825891,26.63
287,87569,735470,823039,10.64
288,116164,704525,820689,14.15
289,156688,662084,818772,19.14
290,71340,745089,816429,8.74
291,79152,735134,814286,9.72
292,97180,715286,812466,11.96
293,98769,711680,810449,12.19
294,93224,715433,808657,11.53
295,113298,693777,807075,14.04
296,94538,710731,805269,11.74
297,153992,649665,803657,19.16
298,118783,683296,802079,14.81
299,80476,719811,800287,10.06
300,163962,633927,797889,20.55
301,333869,462121,795990,41.94
302,132824,660637,793461,16.74
303,349993,441686,791679,44.21
304,79037,710141,789178,10.02
305,96471,690829,787300,12.25
306,201630,584121,785751,25.66
307,90581,693159,783740,11.56
308,222788,559341,782129,28.48
309,87402,692807,780209,11.2
310,146480,632115,778595,18.81
311,172272,604874,777146,22.17
312,180100,595907,776007,23.21
313,71234,703158,774392,9.2
314,108344,664626,772970,14.02
315,250176,521366,771542,32.43
316,123920,646099,770019,16.09
317,138170,630396,768566,17.98
318,67442,699604,767046,8.79
319,102966,662701,765667,13.45
320,92742,671468,764210,12.14
321,152572,610436,763008,20.0
322,82892,678645,761537,10.88
323,88840,671457,760297,11.68
